eventid,iyear,imonth,country_txt,region_txt,city,latitude,longitude,nkill,nwound
202105220039,2021,5,United Kingdom,Western Europe,Glenavy,54.590302,-6.213652,0,0
202105220040,2021,5,Cameroon,Sub-Saharan Africa,Akwa,6.053333,9.474722,0,0
202105230001,2021,5,Afghanistan,South Asia,Imam Sahib district,37.157843,68.882423,1,2
202105230002,2021,5,Afghanistan,South Asia,Warduj district,36.756944,71.182222,5,7
202105230003,2021,5,Afghanistan,South Asia,Abazano,31.76147,64.621428,2,0
202105230004,2021,5,Afghanistan,South Asia,Hazar Sumuch district,36.926111,69.569444,1,0
202105230005,2021,5,Afghanistan,South Asia,Mohammad Agha district,34.214801,69.098513,2,0
202105230007,2021,5,Afghanistan,South Asia,Darayim,36.871944,70.466389,5,3
202105230008,2021,5,Afghanistan,South Asia,Sayd Khel district,35.046667,69.261944,1,0
202105230009,2021,5,Afghanistan,South Asia,Chishti Sharif district,34.34013,63.75288,4,1
